R, m,likelihood
13.2013,1.9573,2.99734135821526
12.57789,1.99556,1.30253447157479
13.01844,2.04505,5.38413081284223
17.65375,2.17852,2.83254824537799
12.36298,2.10573,1.06741129278451
13.91962,2.06619,0.686657085511467
14.50109,2.15736,6.11482416823104
16.15176,2.18052,0.712361828518836
14.10723,2.10555,2.88442956078791
13.92246,2.0296,2.142424067135
13.38854,2.17851,0.509528696146638
13.58399,2.07856,1.79172937719487
11.88522,2.03978,3.41150222088795
11.8365,2.06077,15.7200572210083
14.70975,2.02961,2.54499552080788
12.93354,2.10122,3.63509465786489
20.0873,2.06261,65.2869360840896
13.63566,2.13954,1.66888907061237
12.93967,1.97655,4.38242821582583
14.17136,2.06635,31.8299010090079
18.40226,2.16891,8.57500557375362
13.88826,2.14537,11.0274252064885
13.7747,2.17249,2.25451184182345
13.40188,2.08344,2.21889388140012
12.68026,1.91613,0.748603293405329
12.88779,2.09053,4.59945634426011
13.25459,2.01581,7.07263597142655
13.12988,1.9937,5.36745604053503
13.47,2.07619,24.721267706608
12.73456,2.09178,11.8540997403952
12.70951,2.11512,6.11463721857382
14.10561,1.96597,2.94148792225059
12.18362,2.27033,0.373517322986405
12.31086,2.02073,2.56920144080817
12.1068,2.00979,10.9449904778583
13.9421,2.14706,2.72608811807233
15.60607,2.1233,3.22464141987411
19.61464,2.17429,17.5272548813405
13.249,2.01425,18.4179022009393
12.90269,2.0066,2.94632387170527
14.18934,1.95082,1.81395694754581
14.04223,2.08396,8.58789278874643
13.21125,2.12086,4.68390656543183
12.45298,2.24007,0.459529047060829
17.8847,2.14976,46.935135642542
13.45013,2.24502,0.26460941665531
12.62949,2.01357,3.66024172236334
12.91488,2.06779,1.41286441305374
14.78756,2.13433,3.42608898238305
13.53274,1.93093,1.89198649121645
14.84101,2.09366,20.5604786479429
15.37828,2.01425,42.4881033310673
12.62204,1.96634,3.3308130181496
12.01404,2.0781,18.2838754502404
19.66873,2.08533,4.02325441049265
11.70421,2.10084,1.17882824472474
16.40572,2.00407,40.6752084604434
17.78562,2.06358,10.2114797455299
14.41777,2.26179,0.361612255473273
15.27093,2.18637,2.51631199249132
12.15253,2.0449,5.51514182187195
18.19281,2.22496,0.699141314637362
13.33848,2.15947,0.675991290528213
15.6276,2.02107,1.82532048064339
13.3327,2.15548,1.91273710767371
14.62705,2.06424,11.400818578774
13.19986,2.10889,9.6158469157171
15.66169,2.08796,8.15913578433772
12.97089,2.05489,1.32824526845829
14.30227,2.20232,3.00955533819878
13.61752,2.20892,0.802340909838545
12.73343,2.139,3.93882221338175
11.94073,1.98912,2.40105838653679
14.63314,2.08299,6.92923861526096
13.06914,2.22577,1.99410940082995
13.17847,2.19101,3.76686141340174
13.82969,2.1796,3.54019895918151
12.71791,2.14477,0.566844258973003
12.7739,2.1005,3.56933795919533
17.5585,2.03177,2.17403119734768
17.11927,2.04059,14.3260318324427
13.4538,2.23093,3.99624353108078
11.63361,1.93057,0.887624123138319
17.35249,2.18336,18.0313384662544
15.28546,2.044,13.2315386956349
12.66736,2.06014,6.1547172830616
16.85744,2.09488,3.27621793401697
15.72504,1.94364,10.1124504489928
12.52871,2.00334,3.13096840852876
16.25956,2.08389,12.7446982055465
15.29236,2.06441,2.75243246218846
17.35711,2.22606,10.9680391339636
11.872,1.99278,2.588494143532
17.48345,2.1241,1.24948146519195
13.61366,1.9504,1.07256434045337
13.44861,2.17309,6.42756138321121
14.80915,1.97348,16.6165401040195
13.83482,2.09041,2.72892993199507
13.10401,2.21606,7.84486004769675
17.33016,2.16763,1.62241792187733
16.40906,2.15116,1.00516655609835
12.74508,2.16288,6.62251655629139
16.89868,2.09998,5.70626433698915
16.61591,2.08993,1.87012015521997
15.94422,1.98085,32.1584769745305
11.21625,2.04823,0.951760042258146
20.32549,2.00329,7.56069346680478
13.45796,1.95411,3.87493267304481
15.67134,2.08955,27.88311398617
12.3776,1.98955,5.47780121059407
16.40588,2.20117,1.53133728622531
11.53075,2.04152,3.687342827012
14.58342,2.19816,1.02119281447888
11.6064,2.00065,6.37958532695375
13.852,2.07436,10.2809791604552
13.8326,2.02231,19.3663335657293
22.15451,2.24236,1.32530902893282
12.83141,2.11556,1.85555264852307
15.09437,2.19808,0.261217939089723
14.05593,2.3362,0.442026266084783
17.30465,2.03118,14.0370578326783
10.92838,1.82961,1.95274360476469
13.32192,2.1817,12.2405013709362
17.80238,2.02801,11.2171757394923
12.25914,1.94245,21.8646143082036
14.69979,2.08105,1.80224992881113
14.74038,2.11597,9.9565892707794
12.96079,2.07476,3.06747525314339
12.85843,1.99817,8.36085447932779
11.72842,2.07674,0.831033448265259
16.10159,2.11949,1.58689101073849
11.51821,2.0905,0.672376035711236
15.17332,2.1899,1.69366940250731
14.40574,2.28498,0.301639743811333
13.43912,2.23274,0.389952940479143
12.59956,2.1775,5.42690769372704
11.49595,1.9967,3.81289368127259
13.19193,2.17273,0.888534264991128
13.4952,2.07387,1.80544848243028
13.57314,1.91464,26.2116327226023
13.77509,1.99107,5.84908198658221
14.22131,2.1018,9.46530492479815
14.6002,2.1076,1.75395209255254
13.91685,2.00091,4.45014062444373
13.34041,2.05405,1.3205381985482
13.00638,2.1118,1.17916185175577
17.15549,2.16908,40.4563476009386
15.44819,2.04667,12.8739893918327
13.26243,2.12865,3.4176933987252
13.03645,2.01673,1.08704868456239
13.78468,2.10075,26.21987991295
11.8862,1.99853,1.06634590981699
12.13066,2.04851,5.14437693878706
12.03484,2.0424,5.97592895815655
14.50823,2.04796,1.03097460090973
14.11786,2.15245,5.22056904202558
11.69804,2.06488,1.55595284218126
12.84824,2.13005,6.83994528043776
11.93181,2.16874,0.364898514425168
12.62989,2.24657,1.14453011888234
18.85224,2.04667,2.15016771308162
15.13325,2.11327,2.1134499957731
14.33349,2.09764,2.33066006623736
14.09824,2.02533,28.7943793371534
12.17158,2.03249,1.12914863322204
12.56927,2.15478,12.8680255301627
14.74805,1.95093,48.4167715696717
12.56972,1.9792,5.48416994345821
11.62581,2.07477,1.51367682697009
12.12881,2.19801,2.83330263922141
14.82722,2.17465,12.90472441961
13.27428,2.12903,0.862628930676551
13.94907,2.08953,0.645449868876859
12.99535,2.08274,19.9405770803007
11.64293,2.0573,9.03587241348152
14.88081,2.25903,0.260207619659726
16.36051,1.9781,2.22073186439323
12.96653,2.18444,1.36640208567614
13.33818,2.22666,8.19343050741915
11.6536,2.01366,19.5644943556434
11.56529,2.12775,3.06948076663352
15.27569,2.10103,2.39284252942598
13.11413,2.08373,7.88338891122516
13.20954,2.06592,1.14960499572347
12.36479,2.12559,0.801763237712377
15.68981,1.93421,19.5740682743501
11.91745,2.14308,1.06543360484133
11.85271,2.01453,8.66708846497196
14.01135,2.04803,0.880379337849092
12.60742,1.98924,21.0903722450701
19.87485,2.15146,14.2122168215798
12.49286,2.06522,1.67276389104954
13.87963,2.17318,0.843812072925615
11.46538,2.1013,13.9335924981538
16.71716,2.13021,5.63243833888129
18.14752,2.19546,3.49977076501489
15.47083,2.1524,2.36583917498456
13.50626,2.05345,16.580448335323
13.54574,2.14384,4.47547440028643
14.45887,2.10913,1.78076629935394
13.24165,2.02873,4.32015829059977
19.06463,2.28511,2.87675410081297
12.30471,2.01361,20.2728728688142
12.95089,2.21808,0.595827183900273
13.50649,2.1766,1.01601751614198
14.04458,2.12125,6.45707016898153
12.26457,2.22065,0.156697493764615
11.88945,2.16626,2.15264398497455
16.27675,2.05948,1.77148546141882
12.45209,2.09203,7.66824121219557
13.2357,2.02756,4.2005864018617
14.29342,2.10893,0.689749358877971
14.59437,2.06385,24.5434910661692
12.38675,2.31028,0.215930254527788
12.50673,2.06881,6.53300145685932
15.01099,2.05892,0.939713612879339
20.10553,2.13394,33.4873752595272
13.43383,2.13383,1.87164974695295
16.41659,2.25116,0.477895425011517
15.14814,2.14428,0.834090965960748
12.04875,2.06518,1.59803377923803
12.67515,2.104,3.66213172687822
12.53645,1.98022,7.09239978439105
11.98787,1.962,10.1746995919945
13.62257,2.14532,2.13241895208668
12.37409,2.04608,16.4641575290592
13.66103,1.96342,3.11573070116404
12.21086,2.06894,2.34227144115277
13.37858,2.07472,9.94539975534317
12.56875,2.1909,6.64791953358197
12.16792,2.06498,3.78554150278427
15.57172,2.12489,2.8575429131507
14.12904,2.0782,5.31363745051675
12.07465,2.17548,2.39279672473984
11.15876,2.068,0.715751983348746
14.61776,2.08158,3.04074291430882
16.05967,2.02894,6.45665325835007
13.42448,2.02326,41.6597233794368
14.89353,2.17263,21.9862366158785
17.66572,2.05879,2.03679262192241
11.38962,1.88092,1.1316620947518
17.48501,2.13853,15.3623989922266
13.587,2.19704,2.8646810607341
13.95194,2.01727,18.69543270579
14.97139,2.12407,6.73514059605994
11.87623,2.10361,11.2162950334246
12.99392,2.18437,0.876144683028377
19.23106,2.01917,8.53664782913046
17.11402,2.21435,2.26106735945771
15.49677,2.09184,30.4896640039027
13.33453,2.23097,3.8375194274421
13.26846,2.13312,9.22602847152386
13.57436,2.0952,29.1579192908794
12.49661,2.01659,7.95924864692773
13.05821,2.07588,1.74107438217976
15.65679,2.06125,8.88525580651467
12.86612,2.10265,1.45100394963275
11.41301,2.10687,3.86248025306971
17.48623,2.16916,2.24032905953226
13.17275,2.17761,2.43917312031221
15.64639,2.08905,17.8865278672104
13.38536,2.18219,0.922904268985987
11.51357,2.11397,0.949134910985382
12.25339,2.06985,1.5054368853113
