Lambda1,Lambda2,m1,m2,likelihood
317.922827897895,688.927043113676,1.40032818886981,1.32354254347781,1.02115356705401
929.83307971999,423.998577150951,1.37077639016795,1.35302420890286,1.02040773204321
79.8263116611487,8.99375831648717,1.49469547210502,1.24884907551393,1.01523891297204
736.46488095338,703.334172661573,1.48058324786074,1.25662964724028,1.01848576607302
567.738176158994,619.811989590122,1.37247470275571,1.35243182487045,1.01948488090293
968.672715102819,546.602951434772,1.47561804522451,1.25807544842906,1.02055442973913
362.748648772437,1618.83402971671,1.5158746424349,1.23034221287677,1.01707852594755
60.2655788093077,80.3522109278683,1.64782855288139,1.13358874375801,1.02010370891988
222.824746252367,55.4579389945184,1.49343843715795,1.24530982780416,1.01912242990636
413.789064003261,88.7600388198923,1.39202343406793,1.33954396104551,1.01489666169932
67.7392243339712,222.017972606866,1.54906209691508,1.20340186067643,1.01824905065769
609.769222525262,9.71484794905614,1.40606986675726,1.31865312386179,1.0208259764921
321.410030424794,830.948751603543,1.37167987491385,1.36248167542136,1.01255749300038
37.2246901946988,540.776719802698,1.51488700025646,1.23145488601412,1.01643639200593
55.1056319825098,249.377356212476,1.43241142609057,1.29433561594129,1.0210651605323
114.887973573248,1417.14370621862,1.54034068524433,1.20857829644233,1.01963298279792
46.1524400785335,741.430758010997,1.62562748608446,1.15514672288928,1.01363549082349
300.727556454165,343.981039922867,1.54925459375432,1.20524771386162,1.01659901154962
92.5514486720607,234.946332163899,1.45006350528189,1.28013790865163,1.02013571849903
11.9707330712855,1322.26768607795,1.38257858014153,1.35049597912047,1.01351578179929
426.93631432983,591.963634506197,1.52458104230535,1.22233213481442,1.01787162551029
231.218056074679,549.798878120238,1.46579103669678,1.26846072208503,1.01891073081319
906.337285787359,243.439949227873,1.38202277811523,1.35591989986887,1.00990448813521
358.001434937621,616.338729820285,1.5700006062187,1.1930671693967,1.01417545764728
125.037535336189,242.898813494851,1.59679194782647,1.16963132869996,1.01810183493161
95.0506992163961,628.862814282126,1.46351378666631,1.27230195404646,1.01715372659409
283.064482664872,147.677206028455,1.4022429849203,1.32511722344395,1.01842000941154
763.23584623991,252.850738337831,1.47351879449912,1.26114539817012,1.01946089197442
270.260970883905,686.42728851954,1.38201432726027,1.34489000332303,1.01822036123225
618.910877158617,1171.36788372701,1.50944217891151,1.23635175485203,1.01620038882499
1193.78633325405,400.343497925469,1.49207867858334,1.24632521564286,1.01936323044384
309.136642678551,296.657303928709,1.3783436258899,1.34810574332987,1.0183997678948
522.677907774444,125.431835994809,1.54228630296678,1.20675714533976,1.01987302581077
103.019210670282,364.078933460464,1.46594206189177,1.26866915617317,1.0185166475741
280.763455431332,852.496174141023,1.38899742749263,1.34746802936664,1.01118452876931
122.526612210571,326.981908371696,1.44541749468614,1.29027618049157,1.01533185726153
