m,R,likelihood
1.4850275258,13.1453888732,1.16362282329806
1.37318352175,12.7614926439,1.18597231940607
1.38882854996,12.2256272043,1.0762015251928
1.41963621756,13.04517425,1.19873317877667
1.2616601108,11.8439240267,1.111857290893
1.50340110062,13.5845395371,1.2274818455435
1.47340269965,13.5891000975,1.25331344742663
1.60941921269,13.8440999746,1.19085896657259
1.45268088729,12.673077734,1.10558930674023
1.18412116954,12.6115183611,1.34319416946275
1.65424847119,16.1831734812,1.58316776037173
1.47815413679,13.8877807323,1.30480677768833
1.14683162465,11.0060188477,1.05623612369793
1.18025701344,11.4557610564,1.11191416022683
1.43594439878,12.9289178698,1.16409014714099
1.50727396569,12.6176738035,1.0562495114846
1.46075885107,13.8776118517,1.31841068229071
1.63978307248,14.094473501,1.21146628610472
1.30254481977,12.4957997385,1.19876910388413
1.51101677446,13.6643475681,1.23568764781913
1.63041051355,14.532516618,1.29534349918911
1.54768293415,12.98238966,1.08899839372737
1.66388820236,14.4115209994,1.24823219115927
1.50215658448,12.8080923939,1.09207860781819
1.34293483598,12.0765924269,1.08600980449652
1.49817397899,13.1189193598,1.14877167588556
1.35228763392,12.4552706422,1.14719550850015
1.54532172684,14.3012608073,1.32351812293366
1.30778778237,11.8819889439,1.07954520919427
1.67916151907,14.9612766107,1.3330453955279
1.42424036231,12.1957599229,1.04432207310463
1.03484723128,10.2449398846,1.01424404334473
1.51053664723,13.9258687936,1.28384702192426
1.54360580725,14.5777210752,1.3767107351773
1.40284749516,12.255031621,1.07057784439151
1.62293531468,13.8578295341,1.1832849172588
1.5868843831,14.4834670937,1.32190327633727
1.57535311458,13.5142928934,1.1593342638923
1.42744311223,13.4779547809,1.27259168386786
1.319667244,12.3779839891,1.16100868434496
1.38159055448,12.7546943138,1.17749986164377
1.31018276209,11.7248294423,1.04925518620607
1.27823178588,11.943089638,1.11589582442941
1.34297990004,11.4671628655,0.979134640804457
1.38741645364,13.9721993645,1.40709315660243
1.43495079375,13.071213635,1.19067888938236
1.19931153342,11.5779066398,1.11770682326484
1.59333413779,14.7905933556,1.37297948905941
1.37256492321,11.8122524363,1.01655872507271
1.47740830694,14.139067215,1.353134197084
1.37777110002,12.2198233538,1.08380876411119
1.30078460424,12.095471062,1.12470884099879
1.47250702774,13.7644967326,1.28665850925172
1.22884813931,11.8219372099,1.13731096470128
1.30692156625,11.8574501413,1.07580440584936
1.44897770147,13.41234494,1.2415034606909
1.40267265745,13.3329972216,1.2673580527297
1.2806855561,10.7465312618,0.901770174853237
1.19826889334,11.5230899929,1.10811182178016
1.87439522634,16.6371000915,1.47670570584318
1.28571636563,11.4887951029,1.02660550835452
1.34202475675,12.0503965066,1.08203678275839
1.42599667271,12.8304153842,1.15441714632699
1.51520566002,13.48327754,1.19982914432985
1.42580489993,12.557694875,1.10601117071282
1.51126162992,15.3965987649,1.56859054296762
1.33996546636,11.5214283925,0.990648280234585
1.4997548761,13.2000202765,1.16179371655486
1.58119534982,14.1205107216,1.26100065445934
1.26426081279,11.6187639474,1.06778399583991
1.27130653117,12.2425237392,1.17893942609229
1.44992315522,13.6984468951,1.29418844677974
1.40846085813,12.887334709,1.17918409893826
1.46253199391,13.8714368841,1.31564059856385
1.33469032724,12.2319351074,1.12101088277365
1.40216960459,12.5115671277,1.11640784611434
1.43423959569,13.6962489178,1.30792129452818
1.41802080644,13.9675204006,1.37580157639345
1.44855494697,12.7201105417,1.1169839645782
1.38369232282,13.024937548,1.22605965270634
1.49598073346,12.5771468892,1.0573976597675
1.44220297003,12.5309363155,1.08878141406575
1.21621933421,10.3878308335,0.887232721142756
1.09417595086,11.5019019173,1.20907142105791
1.59921938038,14.0992655077,1.24303898170247
1.52625956161,12.6784397468,1.05318145052575
1.53238119273,13.1695779013,1.13181835673556
1.39458721231,13.4564524723,1.29842137928706
1.47114153891,13.661236738,1.26860246946157
1.34123357131,13.8537211588,1.43096318131734
1.55320462645,12.7001909276,1.03846473373764
1.69180709524,15.3758759814,1.39742677833038
1.41836560756,13.2848580808,1.24430110095761
1.37335239254,12.2161141188,1.086636436441
1.40846690521,12.2533381435,1.06601170907261
1.60659358188,14.2606269844,1.26581797790641
1.22166633416,10.888183454,0.970412134033324
1.55179793658,13.192840527,1.1216093748598
1.50459583782,13.6004836538,1.22938777718084
1.43364527249,13.1033609221,1.19763347625093
1.49892607971,13.8763645636,1.28460897145214
1.58219711472,14.5443682606,1.33699312919231
1.40555072575,13.1047165105,1.22182472191269
1.70806174763,15.3632356612,1.38185295426343
1.42626977857,13.2926538677,1.23885802067654
1.48719155616,14.1799822281,1.35202370908776
1.36041184434,13.0029740388,1.24283968983693
1.3950218945,12.2202389124,1.07047928569058
1.41790301757,12.1902845748,1.04804774905545
1.57788996317,14.0981547838,1.25964415052748
1.39782971412,12.1819947015,1.06165339776862
1.71348495565,15.308375742,1.36765977001433
1.72289392941,14.7183676033,1.25736343461396
1.28349439547,12.9101499718,1.29857987305083
1.28346880346,12.1239647447,1.14526022602856
1.31314061461,11.6620429291,1.03570918114761
1.34545598484,12.5937507077,1.17880184223152
1.40938737833,13.1141686481,1.2202562538133
1.7818522747,15.5680429256,1.36017965252851
1.58018185894,14.0056033971,1.24135705152873
1.45829071702,12.7851454324,1.12090156354559
1.71106811534,15.7101982717,1.44243529235279
1.47919870833,12.8639070559,1.11871464162536
1.3317151189,13.6935836968,1.40806596507433
1.34229452284,12.0886124753,1.08869251295272
1.34790096429,12.4862445844,1.15666039756731
1.27147301834,12.3889659556,1.20715504940886
1.64008959574,14.2028587462,1.22993968375791
1.36684689744,12.1918119286,1.08746834107792
1.4307445761,13.6330570532,1.29904546139497
1.41766797274,12.7958385768,1.15494913026556
1.50701590416,12.9370747137,1.11059160103996
1.51825669949,13.9738143045,1.2861289704409
1.67322260484,14.5574402928,1.26653300521685
1.30254481977,12.4957997385,1.19876910388413
1.64097617641,13.365357927,1.08857637070815
1.47613800426,13.7389814498,1.27873967417713
1.32484953311,12.2104251564,1.12536954322376
1.58810546295,14.0625997055,1.24523696859512
1.25789529662,11.904946443,1.1267059736824
1.39463379522,12.7519032138,1.16597679706174
1.28568935969,12.2418420352,1.16562071634387
1.48918114478,13.1010018844,1.15255440633075
1.50418498316,12.8559457367,1.09876948805033
1.45736021308,12.6317463328,1.09486333915801
1.28718612998,12.2116024254,1.15852167999546
1.56902103765,14.0738147298,1.26239354866401
1.14794732724,11.971498379,1.2484612714829
1.47081614862,13.3180173994,1.20592640472337
1.16721259406,11.2377067128,1.08194546778453
1.33693142032,12.0850878344,1.09242219496022
1.5529730202,13.1967750071,1.1214282510205
1.37133523438,12.7102340094,1.17804917412863
1.60029315117,13.5358999731,1.14491930608731
1.6454418292,15.075871721,1.38128224430739
1.34482456115,12.7972241533,1.21777167268246
1.41451411039,13.0129804079,1.19714313761639
1.58345448479,13.7971734645,1.20219472669305
1.55976677331,13.9668147404,1.25064720993114
1.17163020813,11.3211188664,1.09392673753853
1.81093571559,15.3780336269,1.30586660572623
1.66563260559,15.2340194379,1.39331653922465
1.38776624476,12.6181288931,1.14729158874645
1.58019213833,14.7257880886,1.37229366535521
1.22761436717,11.9611438334,1.16542238403465
1.41886521636,11.7251737497,0.968945303037644
