rhoc,rhocdm,R,M,Rdm,Mdm,Mb,Md,Mg,fdm 
1.315441163999999930e+01,7.582499718144846250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.194004030000011873e+01,1.068717379122170907e+00,2.771021801223967072e-29,1.214237352326249963e+00,1.068717379122170907e+00,1.000000000000000000e+00
1.315441163999999930e+01,8.165768927232901250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.190004050000011482e+01,1.178872309496792115e+00,2.771021801223966512e-29,1.352473690569782505e+00,1.178872309496792115e+00,1.000000000000000000e+00
1.315441163999999930e+01,8.749038136320956250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.185004075000010815e+01,1.281697340448545663e+00,2.771021801223965951e-29,1.484096401541592947e+00,1.281697340448545663e+00,1.000000000000000000e+00
1.315441163999999930e+01,9.332307345409011250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.180004100000010325e+01,1.380537116648545171e+00,2.771021801223965391e-29,1.613167097716185383e+00,1.380537116648545171e+00,1.000000000000000000e+00
1.315441163999999930e+01,9.915576554497066250e+14,1.000000000000000048e-04,2.771020964218964153e-29,1.173004135000009640e+01,1.468242034807319518e+00,2.771020964218964153e-29,1.729956956437525228e+00,1.468242034807319518e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.049884576358512125e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.166004170000008777e+01,1.548132902975993819e+00,2.771021801223963709e-29,1.838350374291237488e+00,1.548132902975993819e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.108211497267317625e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.158004210000007816e+01,1.621802355001196627e+00,2.771020964218964153e-29,1.940166505368530414e+00,1.621802355001196627e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.166538418176123250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.150004250000007033e+01,1.685932213042049543e+00,2.771021801223961467e-29,2.030382860259778877e+00,1.685932213042049543e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.224865339084928750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.142004290000006073e+01,1.743266462645103543e+00,2.771020964218964153e-29,2.112411486063268562e+00,1.743266462645103543e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.283192259993734250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.133004335000005014e+01,1.794659158045674108e+00,2.771021801223958104e-29,2.187159569337659093e+00,1.794659158045674108e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.341519180902539750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.123004385000004035e+01,1.838689278211307565e+00,2.771021801223956422e-29,2.252206335797885206e+00,1.838689278211307565e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.399846101811345250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.114004430000002976e+01,1.877348937257533601e+00,2.771020964218964153e-29,2.310174479267960379e+00,1.877348937257533601e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.458173022720150750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.104004480000001820e+01,1.911087742116674981e+00,2.771020964218964153e-29,2.361490801027817277e+00,1.911087742116674981e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.516499943628956250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.095004525000000761e+01,1.939450927779231559e+00,2.771021801223948014e-29,2.405221508209562931e+00,1.939450927779231559e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.574826864537761750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.086004569999999880e+01,1.963847205019924935e+00,2.771021801223944651e-29,2.443317992305298336e+00,1.963847205019924935e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.633153785446567250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.076004619999998724e+01,1.984452245302596118e+00,2.771020964218964153e-29,2.475902369119325375e+00,1.984452245302596118e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.691480706355372750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.067004664999997665e+01,2.001275497064882281e+00,2.771020964218964153e-29,2.502823745015163137e+00,2.001275497064882281e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.749807627264178250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.058004709999996784e+01,2.015226556427124116e+00,2.771020964218964153e-29,2.525401593202950323e+00,2.015226556427124116e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.808134548172983750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.049004754999995725e+01,2.026415964257120894e+00,2.771020964218964153e-29,2.543715141504789390e+00,2.026415964257120894e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.866461469081789250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.040004799999995555e+01,2.035011113171289576e+00,2.771020964218964153e-29,2.557941388778469438e+00,2.035011113171289576e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.924788389990594750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.031004844999995740e+01,2.041532133778488411e+00,2.771021801223911581e-29,2.568863913994407611e+00,2.041532133778488411e+00,1.000000000000000000e+00
1.315441163999999930e+01,1.983115310899400250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.022004889999995747e+01,2.046115160961074597e+00,2.771020964218964153e-29,2.576639863352635285e+00,2.046115160961074597e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.041442231808205750e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.014004929999995674e+01,2.048949066158163745e+00,2.771021801223894205e-29,2.581536817978612230e+00,2.048949066158163745e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.099769152717011250e+15,1.000000000000000048e-04,2.771020964218964153e-29,1.006004969999995780e+01,2.050298450209977918e+00,2.771021801223884115e-29,2.583967848335576356e+00,2.050298450209977918e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.158096073625816750e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.980050099999958846e+00,2.050342346864652665e+00,2.771021801223872905e-29,2.584178268979221205e+00,2.050342346864652665e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.216422994534622250e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.910050449999959099e+00,2.049219993402717765e+00,2.771020964218964153e-29,2.582400682835678030e+00,2.049219993402717765e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.274749915443427500e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.830050849999958373e+00,2.047059553691508604e+00,2.771020964218964153e-29,2.578827154147814493e+00,2.047059553691508604e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.333076836352233000e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.760051199999958627e+00,2.044016712119406609e+00,2.771020964218964153e-29,2.573706823511013653e+00,2.044016712119406609e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.391403757261038500e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.690051549999958880e+00,2.040248673028288717e+00,2.771020964218964153e-29,2.567296754629880162e+00,2.040248673028288717e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.449730678169844000e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.620051899999959133e+00,2.035730659835821577e+00,2.771020964218964153e-29,2.559557746546923696e+00,2.035730659835821577e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.508057599078649500e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.550052249999959386e+00,2.030653792330755714e+00,2.771020964218964153e-29,2.550809814240705187e+00,2.030653792330755714e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.566384519987455000e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.490052549999960618e+00,2.025134598292642085e+00,2.771020964218964153e-29,2.541244738102077516e+00,2.025134598292642085e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.624711440896260500e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.430052849999960074e+00,2.019081083615456240e+00,2.771020964218964153e-29,2.530712507908547071e+00,2.019081083615456240e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.683038361805066000e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.370053149999961306e+00,2.012724500101124470e+00,2.771020964218964153e-29,2.519598123391414646e+00,2.012724500101124470e+00,1.000000000000000000e+00
1.315441163999999930e+01,2.741365282713871500e+15,1.000000000000000048e-04,2.771020964218964153e-29,9.310053449999960762e+00,2.006110990379379455e+00,2.771020964218964153e-29,2.508000112874087861e+00,2.006110990379379455e+00,1.000000000000000000e+00
5.832692090881865625e+13,1.315441163999999930e+01,2.000000000000101963e+01,7.329412613658152498e-02,1.000000000000000048e-04,2.771020964218964153e-29,7.370628300253027898e-02,2.771021801223968193e-29,7.329412613658152498e-02,3.759546253511171020e-28
5.832692090881865625e+13,5.832692090881865625e+13,2.000000000000101963e+01,2.875846554660839091e-02,2.000000000000101963e+01,2.875846554660839091e-02,2.891785388017438854e-02,2.891785388017438854e-02,5.751693109321678182e-02,5.000000000000000000e-01
5.832692090881865625e+13,1.166538418176241562e+14,2.000000000000101963e+01,1.178241426067194730e-02,2.000000000000101963e+01,5.294634992137007418e-02,1.185532585527477797e-02,5.346892591468480754e-02,6.472876418204201454e-02,8.185157038304319288e-01
5.832692090881865625e+13,1.749807627264296562e+14,1.633001835000061064e+01,5.233083316013949736e-03,2.000000000000101963e+01,7.548075983956700763e-02,5.268685106575275896e-03,7.681736476228197275e-02,8.071384315558095823e-02,9.358150975105677949e-01
5.832692090881865625e+13,2.333076836352351562e+14,8.470057649999965577e+00,3.171307368656877540e-03,2.000000000000101963e+01,1.192303503373502022e-01,3.193488967098224388e-03,1.228397365975363864e-01,1.224016577060070832e-01,9.746615310939535926e-01
5.832692090881865625e+13,2.916346045440406250e+14,6.850065749999973086e+00,2.220126586256980245e-03,1.749001255000073840e+01,1.792027470452917659e-01,2.235650250380934786e-03,1.866925054533594142e-01,1.814228736315487422e-01,9.881666645077153976e-01
5.832692090881865625e+13,3.499615254528461250e+14,6.080069599999976759e+00,1.697087641053028704e-03,1.446002770000040094e+01,2.513825137288672740e-01,1.708814232571970486e-03,2.645671236829961193e-01,2.530796013699203040e-01,9.935825435600801336e-01
5.832692090881865625e+13,4.082884463616516250e+14,5.440072799999978947e+00,1.298990765748111705e-03,1.306003470000024436e+01,3.545544023536991718e-01,1.307827238194003054e-03,3.776563701151681163e-01,3.558533931194473032e-01,9.965489424929117046e-01
5.832692090881865625e+13,4.666153672704571250e+14,4.980075099999980992e+00,1.028756797626816403e-03,1.251003745000018341e+01,4.621284639952996653e-01,1.035626558893029290e-03,4.976391556749251710e-01,4.631572207929264828e-01,9.979232425705307774e-01
5.832692090881865625e+13,5.249422881792626250e+14,4.630076849999982258e+00,8.368735160575808052e-04,1.225003875000015441e+01,5.744831626347788323e-01,8.423402249524824387e-04,6.251604207809813296e-01,5.753200361508363780e-01,9.986544145211134760e-01
5.832692090881865625e+13,5.832692090880681250e+14,4.290078549999984503e+00,6.809169987754117113e-04,1.211003945000013715e+01,7.025594418142483422e-01,6.852520890492447758e-04,7.733309405412127635e-01,7.032403588130237138e-01,9.991146799051831007e-01
5.832692090881865625e+13,6.415961299968736250e+14,4.010079949999985516e+00,5.627777020963314674e-04,1.203003985000012932e+01,8.248604829274889250e-01,5.662697223182508888e-04,9.176777214911473468e-01,8.254232606295852648e-01,9.993833123573507837e-01
5.832692090881865625e+13,6.999230509056791250e+14,3.770081149999986447e+00,4.710923248762817418e-04,1.198004010000012265e+01,9.437034620974660282e-01,4.739371039815964038e-04,1.060733917657869618e+00,9.441745544223423270e-01,9.995533984206250722e-01
5.832692090881865625e+13,7.582499718144846250e+14,3.540082299999987470e+00,3.942980183050535025e-04,1.194004030000011873e+01,1.065211630486974093e+00,3.966094742389244133e-04,1.210021533093828427e+00,1.065605928505279243e+00,9.996723368063556991e-01
5.832692090881865625e+13,8.165768927232901250e+14,3.350083249999988411e+00,3.334316915704108280e-04,1.190004050000011482e+01,1.175994186654963247e+00,3.353309966973133356e-04,1.348956255310272523e+00,1.176327618346533654e+00,9.997514762560587576e-01
5.832692090881865625e+13,8.749038136320956250e+14,3.170084149999989442e+00,2.840864150103533572e-04,1.185004075000010815e+01,1.279296548674569767e+00,2.856578100423290910e-04,1.481118160814215212e+00,1.279580635089580198e+00,9.998071708696500970e-01
5.832692090881865625e+13,9.332307345409011250e+14,3.000084999999990121e+00,2.421158010358480806e-04,1.179004105000010227e+01,1.378571739312468125e+00,2.434145714261372676e-04,1.610692190268894208e+00,1.378813855113504072e+00,9.998488986333813333e-01
