rhoc,rhocdm,R,M,Rdm,Mdm,Mb,Md,Mg,fdm 
1.440786571999999869e+05,2.326774658628482500e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.950050249999957686e+00,2.022841405417525440e+00,3.035065273339108856e-25,2.432068005680193323e+00,2.022841405417525440e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.388005570693861500e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.890050549999958918e+00,2.017026626904886655e+00,3.035065273339108856e-25,2.422693219529021835e+00,2.017026626904886655e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.449236482759240500e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.830050849999958373e+00,2.010835170366625846e+00,3.035065273339108856e-25,2.412684771932728012e+00,2.010835170366625846e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.510467394824619500e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.770051149999959605e+00,2.004301380279549516e+00,3.035065273339108856e-25,2.402115082100097165e+00,2.004301380279549516e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.571698306889999000e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.720051399999960040e+00,1.997537042207903735e+00,3.035065273339108856e-25,2.391141377201443596e+00,1.997537042207903735e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.632929218955378000e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.670051649999960475e+00,1.990550431380900376e+00,3.035065273339108856e-25,2.379788560786443963e+00,1.990550431380900376e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.694160131020757000e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.610051949999959930e+00,1.983391690811193708e+00,3.035065273339108856e-25,2.368132246885285674e+00,1.983391690811193708e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.755391043086136000e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.560052199999960365e+00,1.976085456907615612e+00,3.035065273339108856e-25,2.356236857834702825e+00,1.976085456907615612e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.816621955151515000e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.520052399999960002e+00,1.968687378675249677e+00,3.035065273339108856e-25,2.344169036017348162e+00,1.968687378675249677e+00,1.000000000000000000e+00
1.440786571999999869e+05,2.877852867216894000e+15,1.000000000000000048e-04,3.035065273339108856e-25,9.470052649999960437e+00,1.961197864301113203e+00,3.035065273339108856e-25,2.331937750897326023e+00,1.961197864301113203e+00,1.000000000000000000e+00
6.123091220945771094e+13,1.440786571999999869e+05,2.000000000000101963e+01,6.425145939732232470e-02,1.000000000000000048e-04,3.035065273339108856e-25,6.457846138207889997e-02,3.035065273339108856e-25,6.425145939732232470e-02,4.699810445129877932e-24
6.123091220945771094e+13,6.123091220945771094e+13,2.000000000000101963e+01,2.466350368385420919e-02,2.000000000000101963e+01,2.466350368385420919e-02,2.478721054203001165e-02,2.478721054203001165e-02,4.932700736770841837e-02,5.000000000000000000e-01
6.123091220945771094e+13,1.224618242748367656e+14,2.000000000000101963e+01,8.851396445219653769e-03,2.000000000000101963e+01,5.213099498850523594e-02,8.901515335858702430e-03,5.248076172061540839e-02,6.098239143372488624e-02,8.549823212379534798e-01
6.123091220945771094e+13,1.836927363402158125e+14,1.009004954999995718e+01,4.196329713429319472e-03,2.000000000000101963e+01,9.273456674845756420e-02,4.221479355811425666e-03,9.371688458986696113e-02,9.693089646188687847e-02,9.568965706007416250e-01
6.123091220945771094e+13,2.449236484055948750e+14,7.130064349999971185e+00,2.690640183193704783e-03,1.777001115000076936e+01,1.662671763557323490e-01,2.706723472730640945e-03,1.690829015944148028e-01,1.689578165389260533e-01,9.842439642576045200e-01
6.123091220945771094e+13,3.061545604709739375e+14,6.080069599999976759e+00,1.895506225518195191e-03,1.409002955000035939e+01,2.714879607053903299e-01,1.906653221657400891e-03,2.783618468479359676e-01,2.733834669309085363e-01,9.931970477553347942e-01
6.123091220945771094e+13,3.673854725363530000e+14,5.580072099999978441e+00,1.497998961359151308e-03,1.326003370000026571e+01,3.562526378636422519e-01,1.506647597035695469e-03,3.676026786496119358e-01,3.577506368250014113e-01,9.959181535390712048e-01
6.123091220945771094e+13,4.286163846017320625e+14,5.260073699999979979e+00,1.185222406364102839e-03,1.305003475000024338e+01,3.887990700416248946e-01,1.192041798531896443e-03,4.021526537259163536e-01,3.899842924479889894e-01,9.970446077219834446e-01
6.123091220945771094e+13,4.898472966671111250e+14,4.640076799999982349e+00,9.160243496288237057e-04,1.256003720000018831e+01,4.681939704773751543e-01,9.212292677795152216e-04,4.872814774793240433e-01,4.691099948270039954e-01,9.981130189262619190e-01
6.123091220945771094e+13,5.510782087324901875e+14,4.280078599999984412e+00,7.365816352703101390e-04,1.218003910000014578e+01,5.680718682106985495e-01,7.406553390426990832e-04,5.959398631112348133e-01,5.688084498459688998e-01,9.987587070196856098e-01
6.123091220945771094e+13,6.123091207978691250e+14,3.970080149999985597e+00,5.995507413993623851e-04,1.193004035000011775e+01,6.833657249562661296e-01,6.027652140008622848e-04,7.235563519703407387e-01,6.839652756976655201e-01,9.991676342951471002e-01
6.123091220945771094e+13,6.735400328632482500e+14,3.700081499999986701e+00,4.916803769901130451e-04,1.177004115000010032e+01,8.096603568691552733e-01,4.942265094881163629e-04,8.661358261258653712e-01,8.101520372461453734e-01,9.994297145500721236e-01
6.123091220945771094e+13,7.347709449286272500e+14,3.460082699999988076e+00,4.045499531519896599e-04,1.167004165000008875e+01,9.462394101724987960e-01,4.065634839354875254e-04,1.023770267503737674e+00,9.466439601256507741e-01,9.996030338984105423e-01
6.123091220945771094e+13,7.960018569940063750e+14,3.230083849999989098e+00,3.326494297805146906e-04,1.160004200000008190e+01,1.093051857847835651e+00,3.342308105176942782e-04,1.197463740117033382e+00,1.093384507277616269e+00,9.997209622835987464e-01
6.123091220945771094e+13,8.572327690593853750e+14,3.020084899999989858e+00,2.725724986928686352e-04,1.154004230000007425e+01,1.248369315043878380e+00,2.738013084106134571e-04,1.386386258703413699e+00,1.248641887542571327e+00,9.998025461926058899e-01
6.123091220945771094e+13,9.184636811247645000e+14,2.820085899999991152e+00,2.228700594130543500e-04,1.149004255000006935e+01,1.404429054560279999e+00,2.238175788369839209e-04,1.582063878050104844e+00,1.404651924619693126e+00,9.998585481139395936e-01
6.123091220945771094e+13,9.796945931901435000e+14,2.640086799999991740e+00,1.831740703985066906e-04,1.144004280000006268e+01,1.546914523155572097e+00,1.839085529705713931e-04,1.766379500058512519e+00,1.547097697225970681e+00,9.998958947343332682e-01
6.123091220945771094e+13,1.040925505255522500e+15,2.480087599999992065e+00,1.528012751888302629e-04,1.139004305000005779e+01,1.663206750379973231e+00,1.533832623684115747e-04,1.921270696115528587e+00,1.663359551655162027e+00,9.999201720931809589e-01
6.123091220945771094e+13,1.102156417320901625e+15,2.350088249999992662e+00,1.298386595357581058e-04,1.133004335000005014e+01,1.751950530070686129e+00,1.303130797818032992e-04,2.042468468517861790e+00,1.752080368730221993e+00,9.999362023119979792e-01
6.123091220945771094e+13,1.163387329386280750e+15,2.240088799999993441e+00,1.121496337559259527e-04,1.128004360000004525e+01,1.818616459205874447e+00,1.125461882394957847e-04,2.135419343167492379e+00,1.818728608839630390e+00,9.999472982872320559e-01
6.123091220945771094e+13,1.224618241451659750e+15,2.140089299999993866e+00,9.809995757061807839e-05,1.122004390000003937e+01,1.869376396626809100e+00,9.843774165393881709e-05,2.207407830943714622e+00,1.869474496584379697e+00,9.999554077181793676e-01
6.123091220945771094e+13,1.285849153517039000e+15,2.050089749999994382e+00,8.658327592620856581e-05,1.115004425000003074e+01,1.908950176218225270e+00,8.687473014242610210e-05,2.264342088328845204e+00,1.909036759494151525e+00,9.999616350384313845e-01
6.123091220945771094e+13,1.347080065582418000e+15,1.970090149999994544e+00,7.684556162879330405e-05,1.109004455000002487e+01,1.940698756005728720e+00,7.709890411755801443e-05,2.310591025820022626e+00,1.940775601567357622e+00,9.999666335016731411e-01
6.123091220945771094e+13,1.408310977647797000e+15,1.900090499999995020e+00,6.831839885411862946e-05,1.102004490000001624e+01,1.967225369096587295e+00,6.853886674963159426e-05,2.349678452226367398e+00,1.967293687495441423e+00,9.999708313843961305e-01
6.123091220945771094e+13,1.469541889713176000e+15,1.820090899999995404e+00,6.091041448082254570e-05,1.094004530000000663e+01,1.988910398927504541e+00,6.110275727772113380e-05,2.381970461830661634e+00,1.988971309341985405e+00,9.999743484686827166e-01
6.123091220945771094e+13,1.530772801778555000e+15,1.760091199999995526e+00,5.454665351847534730e-05,1.086004569999999880e+01,2.005965126399831711e+00,5.471541590177519824e-05,2.407613805018961717e+00,2.006019673053350161e+00,9.999772745228684423e-01
6.123091220945771094e+13,1.592003713843934250e+15,1.700091499999995870e+00,4.904940757918615124e-05,1.079004604999999017e+01,2.019117984360085494e+00,4.919826784656754936e-05,2.427564924850488026e+00,2.019167033767664599e+00,9.999797339011261554e-01
6.123091220945771094e+13,1.653234625909313250e+15,1.640091799999996214e+00,4.426155067280753970e-05,1.071004644999998234e+01,2.029035936949544539e+00,4.439345345224367652e-05,2.442732650781693327e+00,2.029080198500217147e+00,9.999818266453922577e-01
6.123091220945771094e+13,1.714465537974692250e+15,1.590092049999996426e+00,4.007796359899136663e-05,1.063004684999997274e+01,2.036208982730275174e+00,4.019535161942965545e-05,2.453780410619520236e+00,2.036249060693874124e+00,9.999836192786376587e-01
6.123091220945771094e+13,1.775696450040071250e+15,1.540092299999996639e+00,3.641376728080811530e-05,1.056004719999996411e+01,2.041020840573981587e+00,3.651869204459732616e-05,2.461248282523370357e+00,2.041057254341262617e+00,9.999851627523858033e-01
6.123091220945771094e+13,1.836927362105450500e+15,1.490092549999996852e+00,3.318996072934172022e-05,1.048004759999995628e+01,2.043846736637587203e+00,3.328412931722117205e-05,2.465662679789377254e+00,2.043879926598316743e+00,9.999865011218721511e-01
6.123091220945771094e+13,1.898158274170829500e+15,1.450092749999996933e+00,3.033487941812056113e-05,1.041004794999995653e+01,2.044989764987504177e+00,3.041969111026717075e-05,2.467464001317104749e+00,2.045020099866922347e+00,9.999876718298322809e-01
6.123091220945771094e+13,1.959389186236208500e+15,1.400092999999997367e+00,2.779899448727767111e-05,1.034004829999995678e+01,2.044698379072373839e+00,2.787563570710788533e-05,2.467013217745005260e+00,2.044726178066861078e+00,9.999887007817656048e-01
6.123091220945771094e+13,2.020620098301587500e+15,1.360093199999997449e+00,2.554306229907910949e-05,1.027004864999995704e+01,2.043181742165138370e+00,2.561255259631617346e-05,2.464619811203105915e+00,2.043207285227437442e+00,9.999896080173037438e-01
6.123091220945771094e+13,2.081851010366966500e+15,1.330093349999997621e+00,2.352921354412826363e-05,1.020004899999995729e+01,2.040629141056795604e+00,2.359242244724610654e-05,2.460571592833763699e+00,2.040652670270339808e+00,9.999904119041650441e-01
6.123091220945771094e+13,2.143081922432345750e+15,1.290093549999997702e+00,2.172171215966516700e-05,1.014004929999995674e+01,2.037198329904850613e+00,2.177936658837411723e-05,2.455107230796742979e+00,2.037220051617010252e+00,9.999911290337500924e-01
6.123091220945771094e+13,2.204312834497724750e+15,1.260093699999997874e+00,2.009527759159640377e-05,1.007004964999995700e+01,2.033007047208866602e+00,2.014800377714021242e-05,2.448410169314976681e+00,2.033027142486458327e+00,9.999917710528111181e-01
6.123091220945771094e+13,2.265543746563103500e+15,1.230093849999998046e+00,1.863036963355302000e-05,1.001004994999995823e+01,2.028176997250761282e+00,1.867871848196195754e-05,2.440666970780542844e+00,2.028195627620394959e+00,9.999923469380475050e-01
6.123091220945771094e+13,2.326774658628482500e+15,1.200093999999998218e+00,1.730708206375622393e-05,9.950050249999957686e+00,2.022819993422025231e+00,1.735152951279427224e-05,2.432053300365132120e+00,2.022837300504089164e+00,9.999928655322989357e-01
6.123091220945771094e+13,2.388005570693861500e+15,1.170094149999998390e+00,1.610677735649825455e-05,9.890050549999958918e+00,2.017011465353120592e+00,1.614772877803336674e-05,2.422687350291324648e+00,2.017027572130476898e+00,9.999933348307824543e-01
6.123091220945771094e+13,2.449236482759240500e+15,1.140094299999998562e+00,1.501511452487810401e-05,9.830050849999958373e+00,2.010813302289397697e+00,1.505292546734579661e-05,2.412676071881096895e+00,2.010828317403922760e+00,9.999937609396774008e-01
6.123091220945771094e+13,2.510467394824619500e+15,1.120094399999998602e+00,1.402181028875007160e-05,9.770051149999959605e+00,2.004301334623856956e+00,1.405679615722220826e-05,2.402127803504866765e+00,2.004315356434145823e+00,9.999941482239705914e-01
6.123091220945771094e+13,2.571698306889999000e+15,1.090094549999998774e+00,1.311587052676300398e-05,9.720051399999960040e+00,1.997535575671983032e+00,1.314830887202959021e-05,2.391155927197757602e+00,1.997548691542509802e+00,9.999945013052374820e-01
6.123091220945771094e+13,2.632929218955378000e+15,1.070094649999998815e+00,1.228710585833747606e-05,9.670051649999960475e+00,1.990557801142357031e+00,1.231723870654144718e-05,2.379815562336695667e+00,1.990570088248215352e+00,9.999948243153160554e-01
6.123091220945771094e+13,2.694160131020757000e+15,1.050094749999998855e+00,1.152634158574551991e-05,9.620051899999959133e+00,1.983371776681340570e+00,1.155437916836571462e-05,2.368129408783769652e+00,1.983383303022926425e+00,9.999951209073495439e-01
6.123091220945771094e+13,2.755391043086136000e+15,1.030094849999998896e+00,1.082838091771706556e-05,9.560052199999960365e+00,1.976082532402540837e+00,1.085451528179019604e-05,2.356240848211366590e+00,1.976093360783458541e+00,9.999953933124932082e-01
6.123091220945771094e+13,2.816621955151515000e+15,1.010094949999999159e+00,1.018668433429540141e-05,9.520052399999960002e+00,1.968679199871484764e+00,1.021108631162727486e-05,2.344165809601189476e+00,1.968689386555819043e+00,9.999956440616142306e-01
6.123091220945771094e+13,2.877852867216894000e+15,9.900950499999991994e-01,9.595609859970133469e-06,9.470052649999960437e+00,1.961199392269848740e+00,9.618430259157658099e-06,2.331952771473774000e+00,1.961208987879708765e+00,9.999958753922014720e-01
1.224618242748367656e+14,1.440786571999999869e+05,2.000000000000101963e+01,7.494826020857447979e-02,1.000000000000000048e-04,3.035065273339108856e-25,7.547856369834850254e-02,3.035065273339108856e-25,7.494826020857447979e-02,4.021095692107767235e-24
1.224618242748367656e+14,6.123091220945771094e+13,2.000000000000101963e+01,5.213099482227220166e-02,2.000000000000101963e+01,8.851396382099157092e-03,5.248076155354241407e-02,8.901515272484542343e-03,6.098239120437135702e-02,1.450176782740351944e-01
1.224618242748367656e+14,1.224618242748367656e+14,2.000000000000101963e+01,2.731383720011323207e-02,2.000000000000101963e+01,2.731383720011323207e-02,2.750521535617504038e-02,2.750521535617504038e-02,5.462767440022646415e-02,5.000000000000000000e-01
1.224618242748367656e+14,1.836927363402158125e+14,1.416002920000036625e+01,1.298609510628533949e-02,2.000000000000101963e+01,6.849176752791746869e-02,1.308752725713646127e-02,6.919812182317372495e-02,8.147786263420281339e-02,8.409500635479810748e-01
1.224618242748367656e+14,2.449236484055948750e+14,7.920060399999967693e+00,8.578450386765339858e-03,1.863000685000086776e+01,1.414892757793654032e-01,8.646237639403116584e-03,1.438001143773250112e-01,1.500677261661307327e-01,9.432834074084347487e-01
1.224618242748367656e+14,3.061545604709739375e+14,6.620066899999973664e+00,6.249444686278806185e-03,1.418002910000036998e+01,2.478944788384384867e-01,6.298226282993743541e-03,2.539855507628950848e-01,2.541439235247173190e-01,9.758024631635672241e-01
1.224618242748367656e+14,3.673854725363530000e+14,6.080069599999976759e+00,5.083393499813024588e-03,1.327003365000026847e+01,3.345776445727743353e-01,5.122419670276590759e-03,3.449850774392414499e-01,3.396610380725873513e-01,9.853690089113565920e-01
1.224618242748367656e+14,4.286163846017320625e+14,5.780071099999977591e+00,4.170480169683898723e-03,1.304003480000024240e+01,3.704921904654293052e-01,4.202230050319673282e-03,3.829783620410011080e-01,3.746626706351132152e-01,9.891465891210566852e-01
1.224618242748367656e+14,4.898472966671111250e+14,5.090074549999980213e+00,3.215904865833130351e-03,1.256003720000018831e+01,4.539796564266194157e-01,3.240202007810319852e-03,4.722513372842968016e-01,4.571955612924525347e-01,9.931855737903680925e-01
1.224618242748367656e+14,5.510782087324901875e+14,4.680076599999982712e+00,2.620610342060355081e-03,1.217003915000014480e+01,5.556017711745669940e-01,2.639878438096807979e-03,5.825771412364790791e-01,5.582223815166273972e-01,9.954890607256010604e-01
1.224618242748367656e+14,6.123091207978691250e+14,4.350078249999984159e+00,2.158204266365565827e-03,1.192004040000011678e+01,6.724159242968120731e-01,2.173572935811088260e-03,7.116382094173965278e-01,6.745741285631776663e-01,9.969549775031093519e-01
1.224618242748367656e+14,6.735400328632482500e+14,4.060079699999985081e+00,1.787825797675437036e-03,1.176004120000009934e+01,8.002175568003829786e-01,1.800103391403145734e-03,8.556789301987048901e-01,8.020053825980584250e-01,9.979007027333759439e-01
1.224618242748367656e+14,7.347709449286272500e+14,3.800080999999986275e+00,1.484130963030394750e-03,1.166004170000008777e+01,9.382332197638477700e-01,1.493905344354371422e-03,1.014734784140941315e+00,9.397173507268781201e-01,9.985299516144235943e-01
